model,accuracy,precision,recall,f1_score
Logistic Regression,0.8044692737430168,0.765625,0.7101449275362319,0.7368421052631579
Random Forest,0.8156424581005587,0.7903225806451613,0.7101449275362319,0.7480916030534351
