model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.8044692737430168,0.765625,0.7101449275362319,0.7368421052631579,0.8517786561264823
Random Forest Tuned,0.7932960893854749,0.7857142857142857,0.6376811594202898,0.704,0.8417654808959156
XGBoost,0.7877094972067039,0.7924528301886793,0.6086956521739131,0.6885245901639344,0.8179183135704876
Random Forest,0.7821229050279329,0.7884615384615384,0.5942028985507246,0.6776859504132231,0.8398550724637682
Decision Tree,0.7486033519553073,0.7307692307692307,0.5507246376811594,0.628099173553719,0.7986824769433465
